programme_name_corecat,programme_name_pes,programme_name_sales,genre,subgenre,synopsis,pes_views,revenue
Coronation Street: Compilations,Coronation Street: Compilations,CORONATION STREET: COMPILATIONS,Entertainment,Long Running Drama,"Looking back over 60 years, each episode has been carefully curated from the archives to bring alive each theme via specially selected highlights. Narrated by Jason Manford.",149460,299874.39999999997
A Different Breed,,A DIFFERENT BREED,Lifestyle,Pets and Animals,"Britain is a nation of dog lovers. In this hilarious series we meet a cast of colourful characters whose lives are dedicated to hounds of all shapes and sizes. If you thought couture clothing, poetry or weddings were for humans alone - think again...",,16.310000000000002
Mit Plastikmareridt,,MIT PLASTIKMARERIDT,Factual,Medical Science,Men and women disfigured by plastic surgical disasters show their bodily horrors in the sharp lights of the OR - with the goal of being chosen for a rescue operation.,,11860.0
Insight,,INSIGHT,Education,Schools,Presenter Derek Griffiths and comedienne Victoria Wood guide profoundly deaf children through the problems and delights of words. Language can be difficult for these children but this lively series brings excitement to exploring words and grammar.,,11.290000000000001
BAMMA World Title Fight,BAMMA World Title Fight,,Sport,Boxing,Coverage of events from the British Association of Mixed Martial Arts.,25594,
Billie & Greg: The Family Diaries,Billie & Greg: The Family Diaries,,Lifestyle,Parenting and Relationships,"In a new chapter for Billie, Greg, Nelly and Arthur, the family's escapades step up a gear as Billie and Greg get stuck into their dream home renovation project, as well as juggling work commitments and the challenges of raising Nelly and Arthur.",637796,
The Wall,,THE WALL,Factual,Travel and Leisure,"The most memorable symbol of the revolution that swept across Europe two decades ago is the November 1989 opening of the Berlin Wall. Soon after, East and West Germany were reunified, and in the ensuing months the almost unthinkable happened.",,633.40000000000009
The London Weekend Show,,THE LONDON WEEKEND SHOW,Factual,Current Affairs,"Janet Street Porter presents a topical series for the young dealing with all aspects of London life, including reports on homosexuality, punk rock, arson, graffiti, unemployment and education.",,3530.92
Mathematical Eye,,MATHEMATICAL EYE,Education,Schools,"Though we may not realise it, our whole life revolves around the science of mathematics. These programmes explain to 11 to 13 year olds how to see the world with a mathematical eye.",,2385.2
The Martin Lewis Money Show: Live,The Martin Lewis Money Show: Live,,Factual,Current Affairs,"Consumer champion Martin Lewis continues his quest to save the British public a fortune by revealing more money-saving tips, budgeting advice and shopping secrets.",275242,
The Classic Brit Awards,The Classic Brit Awards,,Entertainment,Musicals,The annual awards show celebrating the best of British and International classical music.,8553,
Hello Campers,,HELLO CAMPERS,Factual,Travel and Leisure,Five couples pack-up their tents and head-off to a differing European campsite for the week. Tackling more than just life under canvas our campers take on local activities as well as assume daily responsibilities.,,15000.0
Waterworld,,WATERWORLD,Lifestyle,Travel and Leisure,"Waterworld takes a fascinating journey back in time, cruising the inland waterways of the Midlands to discover a world where tradition lives on after 200 years.",,512.97
Totally Unbelievable,Totally Unbelievable,,Entertainment,Celebrity,"A brand new spin on the 'top ten' countdown format, as your favourite stars get together as duos on a sofa to discuss, digest and most likely disagree with a top ten countdown on a particular topic.",186337,
French Open Tennis,French Open Tennis,,Sport,Tennis,"Coverage of the French Open Tennis from Roland Garros, the second Grand Slam event of the year.",6056,
Please Marry My Boy,,PLEASE MARRY MY BOY,Entertainment,Dating Shows,"They say mother knows best and Seven’s new dating series Please Marry my Boy hosted by Ada Nicodemou, is about to test the theory when four mums are given the chance to find their unlucky-in-love sons the girl of their dreams.",,2502.0
Maura Higgins: You're Joking Me!,Maura Higgins: You're Joking Me!,MAURA HIGGINS: YOU'RE JOKING ME!,Entertainment,Celebrity,"When ITV2 decided to issue Maura with a new, surprise challenge, she was straight and clear in her reply; she said no. Many times. Then, reluctantly, she said yes.",72168,11500.0
Physics in Action,,PHYSICS IN ACTION,Education,Schools,,,6.98
Ready to Mingle,Ready to Mingle,READY TO MINGLE,Entertainment,Dating Shows,"Hosted by comedian Katherine Ryan, this reality series follows a single girl in the search for her perfect partner, as twelve male suitors compete for her affections and the chance to win a big money prize.",507315,57782.0
The Big Fight: Highlights,The Big Fight: Highlights,,Sport,Boxing,"Highlights from the Premier Boxing Champions series, featuring today’s best and brightest stars in their toughest, most anticipated bouts.",14257,
Bob's Burgers,Bob's Burgers,,Comedy,Adult Animation,Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.,145872,
The National Television Awards,The National Television Awards,,Entertainment,Celebrity,"Britain's best-loved stars and a host of fans celebrate the UK's favourite TV shows and top talent, as voted for by viewers across the country.",541594,
Thriller,,THRILLER,Drama,Horror,"An anthology series of suspense thrillers with a horrific edge. Spine-tingling movies created by master of the genre, Brian Clemens.",,80150.389999999985
Fool Britannia,,FOOL BRITANNIA,Comedy,Sketch Shows,"Armed with a truckload of hidden cameras and devious disguises, no one is safe as comedian Dom Joly unleashes a host of brand new characters and pranks across the UK.",,10800.0
Albie,,ALBIE,Childrens,Pre-School,Join in the amazing world of Albie - a six year old with a vivid imagination.,,872.39
Six Nations: The Breakdown,Six Nations: The Breakdown,,Sport,Rugby,A round up of all the action from the weekend’s coverage of the Rugby Six Nations tournament.,22034,
Unbelievable Moments Caught on Camera,Unbelievable Moments Caught On Camera,UNBELIEVABLE MOMENTS CAUGHT ON CAMERA,Entertainment,Clip Shows,,284718,413506.06
Highlights: Six Nations Championships,Highlights: Six Nations Championships,,Sport,Rugby Union,Highlights from the Six Nations Rugby tournament.,77262,
Jeremy Kyle's Emergency Room,,JEREMY KYLE'S EMERGENCY ROOM,Entertainment,Medical Science,Series in which Jeremy Kyle is joined by a team of doctors who attempt to diagnose a variety of patients with a range of medical issues.,,191120.8
Dancing on Ice: The Greatest Show on Ice,Dancing on Ice: The Greatest Show on Ice,DANCING ON ICE: THE GREATEST SHOW ON ICE,Entertainment,Clip Shows,"A look back through the years, celebrating the thrills and spills of Dancing on Ice.",38147,12000.0
Contract for Murder,,CONTRACT FOR MURDER,Drama,TV Movie,"Fast-paced drama of a shocking murder conspiracy which involved no less than eight individuals from all walks of life, all recruited at the direction of a beautiful and wealthy socialite. Starring Cybill Shepherd.",,3685.56
The Big Fish Off,The Big Fish Off,,Lifestyle,Hobbies and Interests,Competitive angling show inviting two celebrity guest anglers to take part in a series of fishing challenges.,131745,
Cycling: Tour of Britain,Cycling: Tour of Britain,,Sport,Event,"Britain's premier stage race, the Tour of Britain cycling tournament.",64239,
The Care of Time,,THE CARE OF TIME,Drama,TV Movie,"A thriller based on Eric Ambler’s best-seller, starring Michael Brandon as an ex-agent turned writer lured into a tangled web of international terrorism and power politics by a mysterious mercenary. Also starring Christopher Lee.",,1868.0
Rugby World Cup,Rugby World Cup,,Sport,Rugby Union,The top international rugby union teams compete every four years to win the coveted Webb Ellis Cup.,1596007,
Rugby World Cup 2019 Highlights,Rugby World Cup 2019 Highlights,,Sport,Rugby,Highlights from the Rugby World Cup.,537199,
"Eat, Shop, Save","Eat, Shop, Save","EAT, SHOP, SAVE",Factual,Current Affairs,"Informative and uplifting consumer programme presented by Ranvir Singh, where a team of experts help households to eat better, cook smarter and save money on their weekly shop.",317385,53444.0
Ball & Boe,Ball & Boe,BALL & BOE,Entertainment,Musicals,"Two of the greatest voices in the world, Michael Ball and Alfie Boe, join forces for the first time in this one-off special.",82465,6183.02
Keith Lemon: Coming in America,Keith Lemon: Coming in America,,Comedy,Sketch Shows,"Keith Lemon tries to crack America, part mockumentary part sketch show.",198337,
Memories of China,,MEMORIES OF CHINA,Lifestyle,Travel and Leisure,"Chinese food expert Kenneth Lo embarks on a 3,000-mile gastronomic tour behind the Bamboo Curtain, retracing the steps of his youth.",,0.0
Doc Martin,Doc Martin,,Drama,Medical,Comedy-drama on the Cornish coastline with Martin Clunes as the gruff but loveable GP Doc Martin.,1840418,
Alfresco,,ALFRESCO,Comedy,Sketch Shows,"Six faces new to television  bring their own brand of humour to Alfresco. Featuring Ben Elton, Stephen Fry, Hugh Laurie, Emma Thompson, Robbie Coltrane and Siobhan Redmond.",,63789.55
The Human Zoo,,THE HUMAN ZOO,Factual,Medical Science,Human Zoo explores the mysteries of human behaviour with the help of a distinguished group of psychologists and an unprecedented range of practical experiments.,,1165.5
Coronavirus: Q&A,Coronavirus: Q&A,,News,News,Nina Hossein puts viewers' Coronavirus questions on a range of subjects to expert guests.,69095,
Keep It In The Family,,KEEP IT IN THE FAMILY,Factual,Business and Consumer,,,258251.43
Cycling: La Vuelta a Espana Highlights,Cycling: La Vuelta a Espana Highlights,,Sport,Event,Coverage of cycling's prestigious Tour of Spain.,250591,
Nurses,,NURSES,Factual,Medical,"Save one life you're a hero, save 100 lives you're a nurse. From ITV Studios Australia, this docuseries follows the most valuable asset in Australia's medical system during a 10-12 week shoot at Westmead Hospital and Westmead Children’s Hospital.",,150000.0
Skin,,SKIN,Factual,Health and Beauty,A series of programmes looking at the effects of racism and cultural differences in Britain.,,10822.689999999999
RISE for the Rugby World Cup 2019,RISE for the Rugby World Cup 2019,,Sport,Rugby,The countdown to the Rugby World Cup 2019 in Japan is on. Which nation are you backing?,25048,
ITV Racing: Sky Bet Sunday Series,ITV Racing: Sky Bet Sunday Series,,Sport,Horse Racing,Coverage of horse racing from the the Sky Bet Sunday Series.,3355,
BRIT Awards: Red Carpet,BRIT Awards: Red Carpet,,Entertainment,Musicals,Companion show to the Brit Awards with exclusives from the red carpet.,69301,
Texas Justice,,TEXAS JUSTICE,Drama,TV Movie,"A tale of lust, love, blood and money. This mini-series is based on the true story of Cullen David, once the richest man in Texas, who was accused of the attempted murder of his wife, and acquitted by the defence of his flaboyant lawyer.",,2500.0
